Isd_024dd	Vsd_024dd
3.9274028e-09	0.70200002
3.9344972e-09	0.704
3.7400394e-09	0.70599997
3.7735775e-09	0.708
3.8322696e-09	0.70999998
3.910956e-09	0.71200001
3.9851273e-09	0.71399999
4.0602663e-09	0.71600002
4.0622012e-09	0.71799999
4.1112189e-09	0.72000003
4.2086095e-09	0.722
4.2111892e-09	0.72399998
4.3047099e-09	0.72600001
4.3143844e-09	0.72799999
4.3833959e-09	0.73000002
4.3134167e-09	0.73199999
4.3656594e-09	0.73400003
4.4075823e-09	0.736
4.4082276e-09	0.73799998
4.4982005e-09	0.74000001
4.6030082e-09	0.74199998
4.5572155e-09	0.74400002
4.5775321e-09	0.74599999
4.4923958e-09	0.74800003
4.3095469e-09	0.75
4.3001949e-09	0.75199997
4.429189e-09	0.75400001
4.4411208e-09	0.75599998
4.4859463e-09	0.75800002
4.5855941e-09	0.75999999
4.5936561e-09	0.76200002
4.5968811e-09	0.764
4.6436415e-09	0.76599997
4.717168e-09	0.76800001
4.6971738e-09	0.76999998
4.6436415e-09	0.77200001
4.8106887e-09	0.77399999
4.9293636e-09	0.77600002
5.0135323e-09	0.778
5.0122422e-09	0.77999997
5.1515561e-09	0.78200001
5.2083133e-09	0.78399998
5.3266658e-09	0.78600001
5.2860325e-09	0.78799999
5.5453109e-09	0.79000002
5.6539888e-09	0.792
5.6936549e-09	0.79400003
5.6913971e-09	0.796
5.6439919e-09	0.79799998
5.5588556e-09	0.80000001
5.3679439e-09	0.80199999
5.3263429e-09	0.80400002
5.5491807e-09	0.80599999
5.7384804e-09	0.80800003
5.8607026e-09	0.81
6.0312981e-09	0.81199998
6.0790257e-09	0.81400001
6.1244965e-09	0.81599998
6.1286891e-09	0.81800002
6.1412657e-09	0.81999999
6.1373959e-09	0.82200003
6.1206267e-09	0.824
6.1048251e-09	0.82599998
6.1038574e-09	0.82800001
6.1138543e-09	0.82999998
6.1525527e-09	0.83200002
6.1470709e-09	0.83399999
6.1232068e-09	0.83600003
6.149973e-09	0.838
6.1402985e-09	0.83999997
6.170612e-09	0.84200001
6.1041798e-09	0.84399998
6.1096621e-09	0.84600002
6.1364287e-09	0.84799999
6.1167569e-09	0.85000002
6.1154668e-09	0.852
6.1538428e-09	0.85399997
6.1673875e-09	0.85600001
